sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
SAM13773940,EGAN00001568552,SAMEA104176197,EGAR00001586085,EGAX00001541770,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM20882150,EGAN00001568651,SAMEA104176296,EGAR00001586185,EGAX00001541870,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM20882185,EGAN00001568575,SAMEA104176220,EGAR00001586108,EGAX00001541793,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM20882192,EGAN00001568577,SAMEA104176222,EGAR00001586110,EGAX00001541795,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM20882203,EGAN00001568501,SAMEA104176146,EGAR00001586034,EGAX00001541719,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM20882212,EGAN00001568601,SAMEA104176246,EGAR00001586135,EGAX00001541820,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM20882228,EGAN00001568630,SAMEA104176275,EGAR00001586164,EGAX00001541849,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM20882266,EGAN00001568584,SAMEA104176229,EGAR00001586117,EGAX00001541802,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM20882291,EGAN00001568595,SAMEA104176240,EGAR00001586129,EGAX00001541814,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM20882294,EGAN00001568570,SAMEA104176215,EGAR00001586103,EGAX00001541788,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM20882303,EGAN00001568654,SAMEA104176299,EGAR00001586188,EGAX00001541873,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635318,EGAN00001568643,SAMEA104176288,EGAR00001586177,EGAX00001541862,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635326,EGAN00001568538,SAMEA104176183,EGAR00001586071,EGAX00001541756,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635329,EGAN00001568628,SAMEA104176273,EGAR00001586162,EGAX00001541847,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635332,EGAN00001568545,SAMEA104176190,EGAR00001586078,EGAX00001541763,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635333,EGAN00001568543,SAMEA104176188,EGAR00001586076,EGAX00001541761,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635338,EGAN00001568503,SAMEA104176148,EGAR00001586036,EGAX00001541721,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635339,EGAN00001568612,SAMEA104176257,EGAR00001586146,EGAX00001541831,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635340,EGAN00001568603,SAMEA104176248,EGAR00001586137,EGAX00001541822,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635345,EGAN00001568494,SAMEA104176139,EGAR00001586027,EGAX00001541712,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635346,EGAN00001568557,SAMEA104176202,EGAR00001586090,EGAX00001541775,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635347,EGAN00001568533,SAMEA104176178,EGAR00001586066,EGAX00001541751,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635662,EGAN00001568509,SAMEA104176154,EGAR00001586042,EGAX00001541727,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635670,EGAN00001568587,SAMEA104176232,EGAR00001586120,EGAX00001541805,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635671,EGAN00001568547,SAMEA104176192,EGAR00001586080,EGAX00001541765,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635672,EGAN00001568563,SAMEA104176208,EGAR00001586096,EGAX00001541781,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635673,EGAN00001568510,SAMEA104176155,EGAR00001586043,EGAX00001541728,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635676,EGAN00001568580,SAMEA104176225,EGAR00001586113,EGAX00001541798,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635678,EGAN00001568500,SAMEA104176145,EGAR00001586033,EGAX00001541718,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635679,EGAN00001568514,SAMEA104176159,EGAR00001586047,EGAX00001541732,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635682,EGAN00001568629,SAMEA104176274,EGAR00001586163,EGAX00001541848,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635694,EGAN00001568648,SAMEA104176293,EGAR00001586182,EGAX00001541867,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635697,EGAN00001568528,SAMEA104176173,EGAR00001586061,EGAX00001541746,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635705,EGAN00001568504,SAMEA104176149,EGAR00001586037,EGAX00001541722,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635710,EGAN00001568518,SAMEA104176163,EGAR00001586051,EGAX00001541736,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635711,EGAN00001568656,SAMEA104176301,EGAR00001586190,EGAX00001541875,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635713,EGAN00001568657,SAMEA104176302,EGAR00001586191,EGAX00001541876,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635714,EGAN00001568658,SAMEA104176303,EGAR00001586192,EGAX00001541877,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635715,EGAN00001568579,SAMEA104176224,EGAR00001586112,EGAX00001541797,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635717,EGAN00001568566,SAMEA104176211,EGAR00001586099,EGAX00001541784,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635718,EGAN00001568661,SAMEA104176306,EGAR00001586195,EGAX00001541880,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM635722,EGAN00001568531,SAMEA104176176,EGAR00001586064,EGAX00001541749,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636222,EGAN00001568592,SAMEA104176237,EGAR00001586125,EGAX00001541810,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636225,EGAN00001568572,SAMEA104176217,EGAR00001586105,EGAX00001541790,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636227,EGAN00001568634,SAMEA104176279,EGAR00001586168,EGAX00001541853,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636228,EGAN00001568635,SAMEA104176280,EGAR00001586169,EGAX00001541854,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636246,EGAN00001568613,SAMEA104176258,EGAR00001586147,EGAX00001541832,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636248,EGAN00001568555,SAMEA104176200,EGAR00001586088,EGAX00001541773,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636250,EGAN00001568540,SAMEA104176185,EGAR00001586073,EGAX00001541758,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636253,EGAN00001568506,SAMEA104176151,EGAR00001586039,EGAX00001541724,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636254,EGAN00001568615,SAMEA104176260,EGAR00001586149,EGAX00001541834,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636273,EGAN00001568496,SAMEA104176141,EGAR00001586029,EGAX00001541714,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636274,EGAN00001568593,SAMEA104176238,EGAR00001586126,EGAX00001541811,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636275,EGAN00001568508,SAMEA104176153,EGAR00001586041,EGAX00001541726,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636276,EGAN00001568524,SAMEA104176169,EGAR00001586057,EGAX00001541742,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636277,EGAN00001568559,SAMEA104176204,EGAR00001586092,EGAX00001541777,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636279,EGAN00001568561,SAMEA104176206,EGAR00001586094,EGAX00001541779,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636284,EGAN00001568505,SAMEA104176150,EGAR00001586038,EGAX00001541723,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636320,EGAN00001568507,SAMEA104176152,EGAR00001586040,EGAX00001541725,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636327,EGAN00001568539,SAMEA104176184,EGAR00001586072,EGAX00001541757,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636330,EGAN00001568608,SAMEA104176253,EGAR00001586142,EGAX00001541827,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636332,EGAN00001568638,SAMEA104176283,EGAR00001586172,EGAX00001541857,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636334,EGAN00001568516,SAMEA104176161,EGAR00001586049,EGAX00001541734,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636337,EGAN00001568525,SAMEA104176170,EGAR00001586058,EGAX00001541743,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636361,EGAN00001568636,SAMEA104176281,EGAR00001586170,EGAX00001541855,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636364,EGAN00001568554,SAMEA104176199,EGAR00001586087,EGAX00001541772,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636377,EGAN00001568578,SAMEA104176223,EGAR00001586111,EGAX00001541796,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636379,EGAN00001568585,SAMEA104176230,EGAR00001586118,EGAX00001541803,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636380,EGAN00001568611,SAMEA104176256,EGAR00001586145,EGAX00001541830,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636381,EGAN00001568607,SAMEA104176252,EGAR00001586141,EGAX00001541826,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636384,EGAN00001568660,SAMEA104176305,EGAR00001586194,EGAX00001541879,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636390,EGAN00001568526,SAMEA104176171,EGAR00001586059,EGAX00001541744,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636411,EGAN00001568633,SAMEA104176278,EGAR00001586167,EGAX00001541852,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636419,EGAN00001568646,SAMEA104176291,EGAR00001586180,EGAX00001541865,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636421,EGAN00001568650,SAMEA104176295,EGAR00001586184,EGAX00001541869,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636422,EGAN00001568597,SAMEA104176242,EGAR00001586131,EGAX00001541816,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636428,EGAN00001568614,SAMEA104176259,EGAR00001586148,EGAX00001541833,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM636432,EGAN00001568596,SAMEA104176241,EGAR00001586130,EGAX00001541815,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM637016,EGAN00001568641,SAMEA104176286,EGAR00001586175,EGAX00001541860,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM637018,EGAN00001568662,SAMEA104176307,EGAR00001586196,EGAX00001541881,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM637020,EGAN00001568523,SAMEA104176168,EGAR00001586056,EGAX00001541741,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM637040,EGAN00001568637,SAMEA104176282,EGAR00001586171,EGAX00001541856,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM637043,EGAN00001568649,SAMEA104176294,EGAR00001586183,EGAX00001541868,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM637051,EGAN00001568489,SAMEA104176134,EGAR00001586022,EGAX00001541707,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM637068,EGAN00001568553,SAMEA104176198,EGAR00001586086,EGAX00001541771,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM637079,EGAN00001568562,SAMEA104176207,EGAR00001586095,EGAX00001541780,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM637118,EGAN00001568631,SAMEA104176276,EGAR00001586165,EGAX00001541850,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM637119,EGAN00001568549,SAMEA104176194,EGAR00001586082,EGAX00001541767,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM637120,EGAN00001568574,SAMEA104176219,EGAR00001586107,EGAX00001541792,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM637122,EGAN00001076233,SAMEA2018991,EGAR00001586127,EGAX00001541812,EGAS00001002554,ENA-SUBMISSION-TOOL=SRA-Webin
SAM637141,EGAN00001568655,SAMEA104176300,EGAR00001586189,EGAX00001541874,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM637162,EGAN00001568499,SAMEA104176144,EGAR00001586032,EGAX00001541717,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM637165,EGAN00001568490,SAMEA104176135,EGAR00001586023,EGAX00001541708,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM637166,EGAN00001568599,SAMEA104176244,EGAR00001586133,EGAX00001541818,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM637172,EGAN00001568511,SAMEA104176156,EGAR00001586044,EGAX00001541729,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638539,EGAN00001568591,SAMEA104176236,EGAR00001586124,EGAX00001541809,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638544,EGAN00001568491,SAMEA104176136,EGAR00001586024,EGAX00001541709,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638546,EGAN00001568588,SAMEA104176233,EGAR00001586121,EGAX00001541806,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638548,EGAN00001568513,SAMEA104176158,EGAR00001586046,EGAX00001541731,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638553,EGAN00001568644,SAMEA104176289,EGAR00001586178,EGAX00001541863,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638561,EGAN00001568622,SAMEA104176267,EGAR00001586156,EGAX00001541841,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638565,EGAN00001568532,SAMEA104176177,EGAR00001586065,EGAX00001541750,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638566,EGAN00001568589,SAMEA104176234,EGAR00001586122,EGAX00001541807,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638568,EGAN00001568493,SAMEA104176138,EGAR00001586026,EGAX00001541711,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638573,EGAN00001568600,SAMEA104176245,EGAR00001586134,EGAX00001541819,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638574,EGAN00001568492,SAMEA104176137,EGAR00001586025,EGAX00001541710,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638583,EGAN00001568647,SAMEA104176292,EGAR00001586181,EGAX00001541866,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638584,EGAN00001568536,SAMEA104176181,EGAR00001586069,EGAX00001541754,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638585,EGAN00001568573,SAMEA104176218,EGAR00001586106,EGAX00001541791,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638587,EGAN00001568560,SAMEA104176205,EGAR00001586093,EGAX00001541778,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638588,EGAN00001568548,SAMEA104176193,EGAR00001586081,EGAX00001541766,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638590,EGAN00001568618,SAMEA104176263,EGAR00001586152,EGAX00001541837,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638592,EGAN00001568550,SAMEA104176195,EGAR00001586083,EGAX00001541768,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638593,EGAN00001568567,SAMEA104176212,EGAR00001586100,EGAX00001541785,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638594,EGAN00001568542,SAMEA104176187,EGAR00001586075,EGAX00001541760,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638597,EGAN00001568520,SAMEA104176165,EGAR00001586053,EGAX00001541738,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638598,EGAN00001568495,SAMEA104176140,EGAR00001586028,EGAX00001541713,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638600,EGAN00001568620,SAMEA104176265,EGAR00001586154,EGAX00001541839,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638604,EGAN00001568576,SAMEA104176221,EGAR00001586109,EGAX00001541794,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638607,EGAN00001568604,SAMEA104176249,EGAR00001586138,EGAX00001541823,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638609,EGAN00001568556,SAMEA104176201,EGAR00001586089,EGAX00001541774,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638610,EGAN00001568617,SAMEA104176262,EGAR00001586151,EGAX00001541836,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638612,EGAN00001568586,SAMEA104176231,EGAR00001586119,EGAX00001541804,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638613,EGAN00001568558,SAMEA104176203,EGAR00001586091,EGAX00001541776,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638615,EGAN00001568497,SAMEA104176142,EGAR00001586030,EGAX00001541715,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638616,EGAN00001568616,SAMEA104176261,EGAR00001586150,EGAX00001541835,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638618,EGAN00001568625,SAMEA104176270,EGAR00001586159,EGAX00001541844,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638620,EGAN00001568527,SAMEA104176172,EGAR00001586060,EGAX00001541745,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638628,EGAN00001568488,SAMEA104176133,EGAR00001586021,EGAX00001541706,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638630,EGAN00001568624,SAMEA104176269,EGAR00001586158,EGAX00001541843,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638633,EGAN00001568498,SAMEA104176143,EGAR00001586031,EGAX00001541716,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638635,EGAN00001568515,SAMEA104176160,EGAR00001586048,EGAX00001541733,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638651,EGAN00001568652,SAMEA104176297,EGAR00001586186,EGAX00001541871,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638652,EGAN00001568627,SAMEA104176272,EGAR00001586161,EGAX00001541846,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638655,EGAN00001568535,SAMEA104176180,EGAR00001586068,EGAX00001541753,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638656,EGAN00001568544,SAMEA104176189,EGAR00001586077,EGAX00001541762,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638659,EGAN00001568623,SAMEA104176268,EGAR00001586157,EGAX00001541842,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638660,EGAN00001568609,SAMEA104176254,EGAR00001586143,EGAX00001541828,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638662,EGAN00001568568,SAMEA104176213,EGAR00001586101,EGAX00001541786,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638667,EGAN00001568605,SAMEA104176250,EGAR00001586139,EGAX00001541824,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638672,EGAN00001568645,SAMEA104176290,EGAR00001586179,EGAX00001541864,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638673,EGAN00001568522,SAMEA104176167,EGAR00001586055,EGAX00001541740,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638674,EGAN00001568517,SAMEA104176162,EGAR00001586050,EGAX00001541735,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638677,EGAN00001568590,SAMEA104176235,EGAR00001586123,EGAX00001541808,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638678,EGAN00001568598,SAMEA104176243,EGAR00001586132,EGAX00001541817,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638684,EGAN00001568582,SAMEA104176227,EGAR00001586115,EGAX00001541800,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638685,EGAN00001568659,SAMEA104176304,EGAR00001586193,EGAX00001541878,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638686,EGAN00001568541,SAMEA104176186,EGAR00001586074,EGAX00001541759,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638687,EGAN00001568512,SAMEA104176157,EGAR00001586045,EGAX00001541730,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638695,EGAN00001568653,SAMEA104176298,EGAR00001586187,EGAX00001541872,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638698,EGAN00001568546,SAMEA104176191,EGAR00001586079,EGAX00001541764,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638701,EGAN00001568502,SAMEA104176147,EGAR00001586035,EGAX00001541720,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638703,EGAN00001568537,SAMEA104176182,EGAR00001586070,EGAX00001541755,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638709,EGAN00001568619,SAMEA104176264,EGAR00001586153,EGAX00001541838,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638710,EGAN00001568565,SAMEA104176210,EGAR00001586098,EGAX00001541783,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638713,EGAN00001568519,SAMEA104176164,EGAR00001586052,EGAX00001541737,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM638716,EGAN00001568594,SAMEA104176239,EGAR00001586128,EGAX00001541813,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM639011,EGAN00001568602,SAMEA104176247,EGAR00001586136,EGAX00001541821,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM8979568,EGAN00001568621,SAMEA104176266,EGAR00001586155,EGAX00001541840,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM8979581,EGAN00001568606,SAMEA104176251,EGAR00001586140,EGAX00001541825,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM8979609,EGAN00001568610,SAMEA104176255,EGAR00001586144,EGAX00001541829,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM8979668,EGAN00001568640,SAMEA104176285,EGAR00001586174,EGAX00001541859,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM8979680,EGAN00001568569,SAMEA104176214,EGAR00001586102,EGAX00001541787,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM8979685,EGAN00001568581,SAMEA104176226,EGAR00001586114,EGAX00001541799,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM8979686,EGAN00001568530,SAMEA104176175,EGAR00001586063,EGAX00001541748,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM8979687,EGAN00001568632,SAMEA104176277,EGAR00001586166,EGAX00001541851,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM8979689,EGAN00001568639,SAMEA104176284,EGAR00001586173,EGAX00001541858,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM8979690,EGAN00001568529,SAMEA104176174,EGAR00001586062,EGAX00001541747,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM8979693,EGAN00001568626,SAMEA104176271,EGAR00001586160,EGAX00001541845,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM8979698,EGAN00001568564,SAMEA104176209,EGAR00001586097,EGAX00001541782,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM8979703,EGAN00001568571,SAMEA104176216,EGAR00001586104,EGAX00001541789,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM8979715,EGAN00001568551,SAMEA104176196,EGAR00001586084,EGAX00001541769,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM8979719,EGAN00001568521,SAMEA104176166,EGAR00001586054,EGAX00001541739,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM8979722,EGAN00001568534,SAMEA104176179,EGAR00001586067,EGAX00001541752,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM8979726,EGAN00001568642,SAMEA104176287,EGAR00001586176,EGAX00001541861,EGAS00001002554,ENA-CHECKLIST=ERC000026
SAM8979728,EGAN00001568583,SAMEA104176228,EGAR00001586116,EGAX00001541801,EGAS00001002554,ENA-CHECKLIST=ERC000026
